id,nombre,x,y,tipo
1,Malla_0_1,-7.500000,-5.362156,malla
2,Malla_0_2,-3.642622,-6.000000,malla
3,Malla_0_3,0.818698,-6.000000,malla
4,Malla_0_4,-1.576337,2.325016,malla
5,Malla_0_5,-7.214567,-2.740018,malla
6,Malla_0_6,-3.869893,-3.384793,malla
7,Malla_0_7,4.589830,2.721962,malla
8,Malla_0_8,4.049083,-2.221876,malla
9,Malla_0_9,-7.094226,0.427591,malla
10,Malla_0_10,-3.077036,0.360413,malla
11,Malla_0_11,0.134412,-0.814611,malla
12,Malla_0_12,3.192363,-0.171969,malla
13,Malla_0_13,-6.523859,3.761750,malla
14,Malla_0_14,-4.455728,3.394264,malla
15,Malla_0_15,2.252710,5.546568,malla
16,Malla_0_16,2.908957,3.430086,malla
17,Malla_0_17,6.254592,-2.273167,malla
18,Malla_0_18,-2.977819,5.275999,malla
19,Malla_0_19,-0.610030,5.441471,malla
20,Malla_0_20,1.783581,-3.861118,malla
